Código Tabela Campo;Nome;Descrição;Código Tabela
10045;Series;ID de série;307
10046;FolNumFrom;Nº fólio de;307
10047;FolNumTo;Nº página até;307
10048;CatId;Numerador;308
10049;TemplateId;Modelo;308
1005;RefObjType;Tipo de objeto referenciado;44
10050;AcctCode;Código da conta;308
10051;VisOrder;Exibir o pedido;308
10052;CFWId;ID item de linha: fluxo de caixa;308
10053;CalcMethod;Método de cálculo;308
10054;SlpCode;Código de unidade de venda;308
10055;PrcCode;Código do centro de custo;308
10056;CalMethod2;Método de cálculo 2;308
10057;CalMethod3;Método de cálculo 3;308
10058;Linked;Ligado;308
10059;DocEntry;ID interno do documento;309
1006;AccessKey;Chave de acesso;44
10060;LineNum;Nº da linha;309
10061;ItemCode;Código do item;309
10062;AcctCode;Código da conta;309
10063;Quantity;Quantidade;309
10064;LineTotal;Total linha;309
10065;TotalFrgn;Total da linha (moeda estrangeira);309
10066;TotalSys;Total da linha (moeda do sistema);309
10067;DprArea;Área de depreciação;309
10068;Remarks;Observações;309
10069;LogInstanc;Instância do log;309
1007;IssueDate;Data de emissão;44
10070;NewItemCod;Novo código do item;309
10071;Partial;Parcial;309
10072;APC;CAP;309
10073;NewAstCls;Nova classe de ativo;309
10074;ObjType;Tipo de objeto;309
10075;TransType;Tipo de transação;309
10076;OcrCode;Regra distribuição;309
10077;OcrCode2;Regra de distribuição 2;309
10078;OcrCode3;Regra de distribuição 3;309
10079;OcrCode4;Regra de distribuição 4;309
1008;IssuerCNPJ;CNPJ do emissor;44
10080;OcrCode5;Regra de distribuição 5;309
10081;DocEntry;ID interno do documento;310
10082;LineNum;Nº da linha;310
10083;DprArea;Área de depreciação;310
10084;JrnlMemo;Observações do diário;310
10085;ObjType;Tipo de objeto;310
10086;LogInstanc;Instância do log;310
10087;TransNum;Nº da transação;310
10088;JrnlMemo1;Observações de cancelamento de diários;310
10089;DocEntry;ID interno do documento;311
1009;IssuerCode;Código UF do emissor do documento fiscal;44
10090;ItemLine;Nº linha do item;311
10091;ItemCode;Código do item;311
10092;DprArea;Área de depreciação;311
10093;Total;Total;311
10094;TotalFrgn;Total (ME);311
10095;TotalSys;Total (MS);311
10096;ObjType;Tipo de objeto;311
10097;AbsEntry;Internal Number;312
10098;LineNum;Row Number;312
10099;FileName;Data Definition File Name;312
101;FormulSign;Sinal da fórmula;10
1010;Model;Modelo do documento fiscal;44
10100;ReleaDate;Release Date;312
10101;Descript;Description;312
10102;Localizat;Localization;312
10103;ChartAcct;Chart of Accounts;312
10104;DocType;Template Type;312
10105;HistoryId;Chave histórico;313
10106;RowId;Nº da linha;313
10107;AcctBkNo;Nº do livro contábil eletrônico;313
10108;AcctBkName;Nome do livro contábil eletrônico;313
10109;OrgCode;Código organizacional;313
1011;Series;Série do documento fiscal;44
10110;CompType;Tipo da empresa;313
10111;Industry;Setor industrial;313
10112;SoftVender;Fornecedor do software contábil;313
10113;Version;Versão do software contábil;313
10114;FisYear;Exercício;313
10115;LocCurr;Moeda corrente;313
10116;HistoryId;Chave histórico;314
10117;RowId;Nº da linha;314
10118;LineTitle;Título da linha;314
10119;LineNum;Nº da linha;314
1012;Number;Número do documento fiscal;44
10120;HistoryId;ID histórico;315
10121;RowId;Nº da linha;315
10122;ItemName;Nome do item;315
10123;BOPBalance;Saldo no início do período;315
10124;CurDebit;Período atual em débito;315
10125;CurCredit;Período atual em crédito;315
10126;HistoryId;Chave histórico;316
10127;RowId;Nº da linha;316
10128;ShrId;ID histórico relatório SHR;316
10129;RowNum;Nº linha no relatório gravado;316
1013;RefAccKey;Chave de acesso CT-e referenciada;44
10130;ItemName;Nome do item;316
10131;LineNum;Nº linha;316
10132;CurAmount;Valor para período atual;316
10133;HistoryId;ID histórico;317
10134;RowId;Nº da linha;317
10135;ItemName;Nome do item;317
10136;LineNum;Nº da linha;317
10137;CurAmount;Valor período atual;317
10138;HistoryId;Chave histórico;318
10139;RowId;Nº da linha;318
1014;RefAmount;Montante referenciado;44
10140;LineTitle;Título da linha;318
10141;LineNum;Nº da linha;318
10142;PreAmount;Valor do ano anterior;318
10143;HistoryId;Chave histórico;319
10144;RowId;Nº da linha;319
10145;ItemName;Nome do item;319
10146;LineNum;Nº da linha;319
10147;CurMonAmnt;Valor do mês corrente;319
10148;HistoryId;Chave histórico;320
10149;RowId;Nº da linha;320
1015;SubSeries;Subsérie de documento fiscal;44
10150;EmpNo;Nº do empregado;320
10151;HistoryId;Chave histórico;321
10152;RowId;Nº da linha;321
10153;AcctCode;Código da conta;321
10154;AcctName;Nome da conta;321
10155;StrucLevel;Nível da estrutura da conta;321
10156;EvalSign;Sinal de análise;321
10157;AddField;Campos adicionais possíveis;321
10158;AcctType;Tipo de conta;321
10159;MesurUnit;Unidade de medida;321
1016;DocEntry;ID interno do documento;45
10160;HistoryId;Chave histórico;322
10161;RowId;Nº da linha;322
10162;DepNo;Nº do departamento;322
10163;HistoryId;Chave histórico;323
10164;RowId;Nº da linha;323
10165;BPNo;Nº PN;323
10166;BPName;Nome do PN;323
10167;CatNo;Nº da categoria;323
10168;Loc;Área de localização;323
10169;Tel;Telefone;323
1017;LineNum;Nº da linha;45
10170;Address;Rua/caixa postal;323
10171;HistoryId;Chave histórico;324
10172;RowId;Nº da linha;324
10173;PrjCode;Código do projeto;324
10174;HistoryId;Chave histórico;325
10175;RowId;Nº da linha;325
10176;AcctCode;Código da conta;325
10177;Currency;Moeda da conta;325
10178;EvalGrp;Grupo para cálculo;325
10179;PerBBal;Saldo início do período;325
1018;StdCostNum;Número do custo padrão do recurso;45
10180;PerBQty;Quantidade no início do período;325
10181;PerBFCBal;Saldo ME início do período;325
10182;CPDAmt;Valor de débito no período atual;325
10183;CPDQty;Quantidade débito no período atual;325
10184;CPDFCAmt;Valor ME débito período atual;325
10185;CPCAmt;Valor crédito no período atual;325
10186;CPCQty;Quantidade crédito no período atual;325
10187;CPCFCAmt;Valor ME crédito no período atual;325
10188;PerEBal;Saldo fim do período;325
10189;PerEQty;Quantidade fim do período;325
1019;Price;Preço;45
10190;PerEFCBal;Saldo ME fim do período;325
10191;HistoryId;Chave histórico;326
10192;RowId;Nº da linha;326
10193;DocDate;Data do documento;326
10194;DocType;Tipo de documento;326
10195;JrnEntryNo;Nº do lançamento contábil manual;326
10196;LnNo;Nº da linha;326
10197;Remark;Detalhes de cada linha;326
10198;AcctNo;Nº da conta contábil;326
10199;Currency;Moeda da transação;326
102;ReportType;Tipo de relatório;10
1020;Total;Total;45
10200;Debit;Valor de Débito;326
10201;Credit;Valor de Crédito;326
10202;FCDebit;Valor ME débito;326
10203;FCCredit;Valor ME crédito;326
10204;Rate;Taxa de câmbio;326
10205;Quantity;Quantidade;326
10206;UnitPrice;Preço unitário;326
10207;EvaGrp;Grupo de análise;326
10208;SettMeth;Método de liquidação;326
10209;BillType;Tipo de fatura;326
1021;DocEntry;ID interno do documento;46
10210;BillNo;Nº da fatura;326
10211;BillDate;Data da fatura;326
10212;AttmtNum;Nº de anexos;326
10213;Creator;Autor do comprovante;326
10214;Approver;Autorizador do comprovante;326
10215;Bookkeeper;Contador;326
10216;Cashier;Caixa;326
10217;Posted;Sinal lançado;326
10218;Reversed;Sinal estornado;326
10219;HistoryId;Chave histórico;327
1022;LineNum;Nº da linha;46
10220;RowId;Nº da linha;327
10221;AcctName;Nome da conta;327
10222;LineNum;Nº da linha;327
10223;YearBAmt;Valor início do ano;327
10224;PerEAmt;Valor fim do período;327
10225;HistoryId;Chave histórico;328
10226;RowId;Nº da linha;328
10227;RepItm;Item do relatório;328
10228;RepItmNo;Nº do item do relatório;328
10229;PeriodAmt;Valor no período;328
1023;AssetCode;Código do ativo selecionado;46
10230;AbsEntry;Chave interna;331
10231;LineId;Nº de linha;331
10232;ItemCode;Nº do item;331
10233;ItemName;Descrição do item;331
10234;DocType;Tipo de documento;331
10235;DocNum;Nº do documento;331
10236;DocAbs;Entrada de ausência de documento;331
10237;DocLineNum;Número da linha do documento;331
10238;ManagedBy;Gerenciado por;331
10239;Selected;Selecionar;331
1024;Status;Status;46
10240;DistNumber;Nº de lote;331
10241;PostDate;Data de lançamento;331
10242;WhsCode;Código de depósito;331
10243;Quantity;Quantidade;331
10244;CogsAcct;CPV código conta;331
10245;CogsAmnt;Valor do custo de produtos vendidos;331
10246;SalesAmnt;Valor de vendas;331
10247;GrssProfit;Lucro bruto de linha;331
10248;COGSByCC;CPV pelo custo atual;331
10249;GPByCC;Lucro bruto pelo custo atual;331
1025;Remarks;Observações;46
10250;DeltaGP;Lucro bruto delta;331
10251;SalesPrice;Preço de venda;331
10252;BatchQt;Quantidade do lote;331
10253;SnBAbs;Entrada de ausência do número de lote e série;331
10254;AccTotal;Total da conta;331
10255;AccQty;Quantidade da conta;331
10256;ActionType;Tipo de ação;331
10257;SBAccTotal;Total da conta por número de série e lote;331
10258;SBAccQty;Quantidade da conta por número de série e lote;331
10259;BaseType;Tipo básico;331
1026;Amount;Valor;46
10260;Execute;Executar;331
10261;SBCogsAmnt;Montante CPV por número de série e lote;331
10262;SBSaleAmnt;Montante de vendas por número de série e lote;331
10263;SBGrssProf;Lucro bruto por número de série e lote;331
10264;SBGrPrPerc;Porcentagem de lucro bruto por número de série e lote;331
10265;GrPrPerc;Porcentagem de lucro bruto;331
10266;GPPercByCC;Porcentagem de lucro bruto pelo custo atual;331
10267;DeltaGPLn;Delta de lucro bruto calculado para a linha do documento;331
10268;Applied;Ajuste aplicado;331
10269;SBAccTtAdj;SnB Acct Total Adjustment;331
1027;AmountSC;Valor (MS);46
10270;IsMixed;Is Mixed Based Document;331
10271;CogsAmByCC;Total COGS Amount By Current Cost;331
10272;GrssPrByCC;Total Gross Profit By Current Cost;331
10273;LineType;Wizard Line Type;331
10274;ChDocType;Chained Document Type;331
10275;ChDocAbs;Chained Document Abs. Entry;331
10276;WasQty;Was Line Quantity;331
10277;WasCogs;Was Line COGS Amount;331
10278;WasSales;Was Line Sales Amount;331
10279;WasPrice;Was Line Sales Price;331
1028;SerialNo;Nº de série;46
10280;WasGrProf;Was Line Gross Profit;331
10281;BaseAbs;Base Document Abs Entry;331
10282;WasNewCogs;Was Line New Cogs;331
10283;AbsEntry;Chave interna;332
10284;Name;Nome dos parâmetros do assistente;332
10285;Descript;Descrição dos parâmetros do assistente;332
10286;PostDateFr;Data do lançamento de documento de vendas de;332
10287;PostDateTo;Data do lançamento de documento de vendas para;332
10288;ItemCodeFr;Nº do item De;332
10289;ItemCodeTo;Nº do item para;332
1029;VisOrder;Sequência visual;46
10290;ItmsGrpCod;Grupo de itens;332
10291;AdditFilt;Filtros adicionais;332
10292;SearchCond;Localizar condição de pesquisa de itens;332
10293;PropList;Lista de propriedades do item;332
10294;DisplInact;Exibir itens inativos;332
10295;AbsEntry;Chave interna;333
10296;PostDate;Data de lançamento;333
10297;DocDate;Data do documento;333
10298;DueDate;Data de vencimento;333
10299;Series;Série;333
103;EffecDate;Efetivo desde;10
1030;LogInstanc;Instância do log;46
10300;JERemarks;Observações do diário;333
10301;TransCode;Código da transação;333
10302;Ref1;Referência 1;333
10303;AbsEntry;Chave interna;334
10304;LineId;Nº de linha;334
10305;LineType;Tipo de linha;334
10306;CurrCogs;Custo de produtos vendidos atual;334
10307;CalcCogs;Custo de produtos vendidos calculado;334
10308;CogsDebit;Débito do custo de produtos vendidos;334
10309;CogsCredit;Crédito CPV;334
1031;DocEntry;ID interno do documento;47
10310;CogsAcct;Conta CPV;334
10311;PrDiffAcct;Conta de diferenças de preço;334
10312;AbsEntry;Chave interna;335
10313;LineId;Nº de linha;335
10314;Selected;Selecionar;335
10315;LnType;Selecionar;335
10316;ProdCode;Código do produto;335
10317;ProdDescr;Descrição do produto;335
10318;PODocAbs;Entrada absoluta de documento de pedido de compra;335
10319;PODocNum;Número de documento de pedido de compra;335
1032;ExpnsCode;Código de despesas;47
10320;DocType;Selecionar;335
10321;DocAbs;Entrada de ausência de documento;335
10322;DocNum;Nº do documento;335
10323;DocLineNum;Número da linha do documento;335
10324;PostDate;Data de lançamento;335
10325;ItemCode;Nº do item;335
10326;ItemDescr;Descrição do item;335
10327;DistNumber;Nº de lote;335
10328;SnBAbs;Entrada de ausência do número de lote e série;335
10329;ManagedBy;Gerenciado por;335
1033;LineTotal;Total;47
10330;LnQty;Quantidade da linha;335
10331;SnBQty;Quantidade de lote/número de série;335
10332;LnCost;Custo de linha;335
10333;DebCred;Debitado ou creditado;335
10334;LnTotal;Total linha;335
10335;SnBTotal;Total de lote/série;335
10336;SBAccTotal;Total de lote/série acumulada;335
10337;SBAccQty;Quantidade de lote/série acumulada;335
10338;ACAccTotal;Total de custos acumulados reais;335
10339;ACAccQty;Quantidade real de custos acumulados;335
1034;TotalFrgn;Total (ME);47
10340;Applied;Ajuste aplicado;335
10341;Variance;Desvio aplicável;335
10342;AbsEntry;Chave interna;336
10343;LineId;Nº de linha;336
10344;PODocAbs;Entrada absoluta de documento de pedido de compra;336
10345;AbsEntry;Chave interna;337
10346;PostDate;Data de lançamento;337
10347;DocDate;Data do documento;337
10348;Series;Série;337
10349;Ref2;Referência 2;337
1035;TotalSumSy;Total (MS);47
10350;AbsEntry;Chave interna;338
10351;LineId;Nº de linha;338
10352;ProdCode;Código do produto;338
10353;ProdDescr;Descrição do produto;338
10354;DistNumber;Nº de lote;338
10355;SnBAbs;Entrada de ausência do número de lote e série;338
10356;ManagedBy;Gerenciado por;338
10357;IncrAcct;Conta de aumento do Razão;338
10358;DecrAcct;Conta de redução do Razão;338
10359;AbsEntry;Chave interna;339
1036;PaidToDate;Pago até a data;47
10360;LineId;Nº de linha;339
10361;DocAbs;Entrada de ausência de documento;339
10362;DocType;Tipo de documento;339
10363;DocLineNum;Número da linha do documento;339
10364;SnBAbs;Entrada de ausência do número de lote e série;339
10365;ManagedBy;Gerenciado por;339
10366;AbsId;Nº interno;340
10367;BPLId;Filial;340
10368;State;Estado;340
10369;AbsEntry;Nº interno;341
1037;PaidFC;Pago em ME;47
10370;LineNum;Nº da linha;341
10371;DisctLine;Código de desconto;341
10372;ItemName;Nome do item;341
10373;ItemSpec;Especificação do item;341
10374;Uom;Unidade de medida;341
10375;Quantity;Quantidade;341
10376;NetAmount;Valor líquido;341
10377;VatPercent;% IVA;341
10378;VatAmount;Valor do IVA;341
10379;UnitPrice;Preço unitário;341
1038;PaidSys;Pago em MS;47
10380;UnitPricTp;Tipo de preço unitário;341
10381;AbsEntry;Nº interno;342
10382;LineNum;Nº da linha;342
10383;ItemCode;Código do item;342
10384;ItemName;Nome do item;342
10385;ItemUoM;UM do item;342
10386;ItemSpec;Especificação do item;342
10387;ItemTaxCat;Categoria fiscal do item;342
10388;Quantity;Quantidade;342
10389;Amount;Valor;342
1039;Comments;Observações;47
10390;VatPercent;% IVA;342
10391;DiscRate;Taxa de desconto;342
10392;DiscAmount;Valor do desconto;342
10393;VatAmount;Valor do IVA;342
10394;DiscVatAmt;Montante do IVA de desconto;342
10395;UnitPrice;Preço unitário;342
10396;empID;ID do empregado;343
10397;line;Linha de informação sobre ausência;343
10398;fromDate;Ausência de;343
10399;toDate;Ausência até;343
104;TaxType;Tipo de acquisição/imposto de estorno;10
1040;ObjType;Tipo de objeto;47
10400;reason;Motivo;343
10401;approvedBy;Autorizado por;343
10402;cnfrmrNum;Nº do confirmador;343
10403;LogInstanc;Instância do log;343
10404;empID;Nº do empregado;344
10405;empID;Nº do empregado;345
10406;line;Linha informação da formação;345
10407;fromDate;Formação de;345
10408;toDate;Formação até;345
10409;type;Tipo de formação;345
1041;TaxStatus;Sujeito a IVA;47
10410;institute;Instituto;345
10411;major;Superior;345
10412;diploma;Diploma;345
10413;empID;Nº do empregado;346
10414;line;Linha perfil empregado;346
10415;date;Data perfil empregado;346
10416;reviewDesc;Descrição da revisão;346
10417;manager;Gerente;346
10418;grade;Nível;346
10419;remarks;Perfis;346
1042;VatGroup;Grupo de IVA;47
10420;empID;Nº do empregado;347
10421;line;Linha ocupação anterior;347
10422;fromDate;Emprego de;347
10423;toDate;Emprego até;347
10424;employer;Empregador;347
10425;position;Posição;347
10426;remarks;Emprego anterior;347
10427;empID;Nº do empregado;348
10428;Object;O nº do objeto;348
10429;Peer;Autorização equivalente;348
1043;VatPrcnt;Porcentagem de imposto;47
10430;Manager;Autorização do gerente;348
10431;Subord;Autorização subordinada;348
10432;Dept;Autorização do departamento;348
10433;Branch;Autorização da filial;348
10434;Team;Autorização da equipe;348
10435;AC;Contador de acessos ao cache;348
10436;empID;Nº do empregado;349
10437;line;Linha função empregado;349
10438;roleID;ID função;349
10439;empID;Nº do empregado;350
1044;VatSum;Valor do imposto;47
10440;line;Linha;350
10441;ConName;Nome do contrato;350
10442;PmntNotes;Detalhes do pagamento;350
10443;AN;Empregado;350
10444;AG;Empregador;350
10445;BankName;Nome do banco;350
10446;BankCode;Código do banco;350
10447;BankAcct;Conta bancária;350
10448;LogInstanc;Instância do log;350
10449;ANCurrency;Moeda do empregado;350
1045;VatSumFrgn;Valor do imposto (ME);47
10450;AGCurrency;Moeda do empregador;350
10451;TransferID;Chave externa para OHET;351
10452;empID;Chave externa para OHEM;351
10453;Transfered;"Registro da hora: status ""Enviado""";351
10454;Status;Status do processamento;351
10455;Comment;Comentários;351
10456;AbsEntry;Nº interno;352
10457;FuncID;ID da função;352
10458;formNum;Nº do formulário;352
10459;ItemUID;UID do item;352
1046;VatSumSy;Valor do imposto (MS);47
10460;ColUID;UID da coluna;352
10461;HideVal;Ocultar valor válido;352
10462;AltVal;Valor válido alternativo;352
10463;PanelID;Ocutar item por painel;352
10464;ActionType;Ocultar tipo de ação do item;352
10465;CreateDate;Data de criação;352
10466;AbsEntry;Nº interno;353
10467;FuncID;ID da função;353
10468;MainMenu;ID do menu principal;353
10469;MovMenuTo;Movimento do menu da posição de destino;353
1047;DedVatSum;Valor de imposto dedutível;47
10470;ActionType;Tipo de ação;353
10471;CreateDate;Data de criação;353
10472;HldCode;Código do feriado;354
10473;StrDate;Data de início;354
10474;EndDate;Data final;354
10475;DocEntry;Nº interno;355
10476;LineNum;Nº analítico;355
10477;ViewType;Tipo de visão;355
10478;ViewName;Nome da visão;355
10479;MenuDesc;Descrição do menu;355
1048;DedVatSumF;Valor de imposto dedutível (ME);47
10480;MenuEnable;Ativação de menu;355
10481;DocEntry;Nº interno;356
10482;LineNum;Nº analítico;356
10483;VerType;Tipo de versão;356
10484;DocEntry;Nº interno;357
10485;LineNum;Nº da linha;357
10486;LangCode;Código do idioma;357
10487;teamID;ID da equipe;358
10488;line;Linha;358
10489;empID;ID do empregado;358
1049;DedVatSumS;Valor de imposto dedutível (MS);47
10490;ItemCode;Nº do item;359
10491;BatchNum;Lote;359
10492;WhsCode;Código de depósito;359
10493;LineNum;Nº de linha;359
10494;ItemName;Descrição do item;359
10495;BaseType;Tipo de documento base;359
10496;BaseEntry;ID interno do documento base;359
10497;BaseNum;Nº do documento base;359
10498;BaseLinNum;Nº da linha no documento base;359
10499;DocDate;Data de lançamento;359
105;BoxCode;Código de grupo;11
1050;TaxCode;Código de imposto;47
10500;Quantity;Quantidade;359
10501;CardCode;Código do PN;359
10502;CardName;Nome do PN;359
10503;Direction;Sentido;359
10504;CreateDate;Data de criação;359
10505;BsDocType;Tipo documento original;359
10506;BsDocEntry;Chave do documento original;359
10507;BsDocLine;Nº da linha no documento original;359
10508;DataSource;Fonte de dados;359
10509;UpgCurNode;Current Node for Upgrade;359
1051;TaxType;Tipo de imp.;47
10510;UpgParent;Parent Node for Upgrade;359
10511;DocEntry;Nº interno;360
10512;LineNum;Nº da linha;360
10513;ItemCode;Código do item;360
10514;ItemDesc;Descrição do item;360
10515;Freeze;Status de congelamento do item;360
10516;WhsCode;Código de depósito;360
10517;InWhsQty;Quantidade em estoque na data da contagem;360
10518;Counted;Contado;360
10519;CountQty;Quantidade contada;360
1052;WTLiable;Sujeito a retenção de imposto;47
10520;CountQtyT1;Contador 1 - Quantidade contada;360
10521;CountQtyT2;-;360
10522;Remark;Observações;360
10523;BarCode;Código de barras;360
10524;InvUoM;Unidade de medida de estoque;360
10525;Difference;Diferença;360
10526;DiffPercen;Diferença %;360
10527;CountDate;Data da contagem;360
10528;CountTime;Hora da contagem;360
10529;TargetRef;Referência do documento de destino;360
1053;VatApplied;Vat Applied;47
10530;TargetType;Tipo de documento de destino;360
10531;TargetEntr;ID interno documento destino;360
10532;TargetLine;Linha do documento de destino;360
10533;ProjCode;Código do projeto;360
10534;OcrCode;Código da regra de distribuição;360
10535;LineStatus;Status da linha;360
10536;BinEntry;Entrada da posição no depósito;360
10537;VisOrder;Sequência visual;360
10538;OcrCode2;Regra de distribuição 2;360
10539;OcrCode3;Regra de distribuição 3;360
1054;VatAppldFC;Imposto utilizado (ME);47
10540;OcrCode4;Regra de distribuição 4;360
10541;OcrCode5;Regra de distribuição 5;360
10542;FirmCode;Fabricante;360
10543;SuppCatNum;Nº catálogo do fabricante;360
10544;PrefVendor;Fornecedor preferencial;360
10545;LogIns;Instância do registro em log - histórico;360
10546;UgpEntry;Entrada de grupo de unidades de medida;360
10547;IUomEntry;Entrada de unidade de medida de estoque;360
10548;CountDiff;Diferença de contadores;360
10549;CountDiffP;Diferença de contadores (%);360
1055;VatAppldSC;Imposto utilizado (MS);47
10550;UomCode;Código da UM para DI;360
10551;DocEntry;Nº interno;361
10552;LineNum;Nº da linha;361
10553;ChildNum;Número inferior;361
10554;CounterNum;Número do contador;361
10555;UomQty;Quantidade contada em unidade de medida;361
10556;InvtQty;Quantidade contada da unidade de medida de estoque;361
10557;DocEntry;Nº interno;362
10558;LineNum;Nº da linha;362
10559;SnbIndex;Índice de número de série e lote;362
1056;EquVatPer;% taxa compensatória;47
10560;ItemCode;Código do item;362
10561;WhsCode;Depósito;362
10562;ObjId;ID do objeto;362
10563;ObjAbs;Objeto absoluto;362
10564;DrfWObjAbs;Depósito provisório do objeto absoluto;362
10565;Quantity;Quantidade;362
10566;SubLineNum;Número de sublinha;362
10567;ObjType;Tipo de objeto;362
10568;LogInstanc;Instância do registro em log - histórico;362
10569;DocEntry;Nº interno;363
1057;EquVatSum;Taxa compensatória total;47
10570;LineNum;Nº da linha;363
10571;ChildNum;Número inferior;363
10572;BarCode;Código de barras;363
10573;UomCode;Código da UM;363
10574;UomQty;Quantidade contada em unidade de medida;363
10575;CountQty;Quantidade contada da unidade de medida de estoque;363
10576;Tk1UomQty;Contador 1 - quantidade contada em UM;363
10577;Tk2UomQty;-;363
10578;Tk1CntQty;Contador 1 - quantidade contada do estoque;363
10579;Tk2CntQty;-;363
1058;EquVatSumF;Taxa compensatória total (ME);47
10580;ItmsPerUnt;Itens por unidade;363
10581;LogIns;Instância do registro em log - histórico;363
10582;UgpEntry;Entrada de ausência de grupo de unidades de medida;363
10583;TeamUomQty;Quantidade contada em UM de equipe;363
10584;TeamCntQty;Quantidade contada de equipe;363
10585;DocEntry;Nº interno;364
10586;LineNum;Nº da linha;364
10587;SnbIndex;Índice de número de série e lote;364
10588;ItemCode;Código do item;364
10589;WhsCode;Depósito;364
1059;EquVatSumS;Taxa compensatória total (MS);47
10590;ObjId;ID do objeto;364
10591;ObjAbs;Objeto absoluto;364
10592;DrfWObjAbs;Depósito provisório do objeto absoluto;364
10593;Quantity;Quantidade;364
10594;SubLineNum;Número de sublinha;364
10595;ObjType;Tipo de objeto;364
10596;LogInstanc;Instância do registro em log - histórico;364
10597;DocEntry;Nº interno;365
10598;CounterNum;Número do contador;365
10599;CounteType;Tipo de contador;365
106;ReportType;Tipo de relatório;11
1060;LineVat;Valor de imposto líquido;47
10600;CounterId;ID do contador;365
10601;CounteName;Nome do contador;365
10602;LogIns;Instância do registro em log - histórico;365
10603;DocEntry;Nº interno;366
10604;LineNum;Nº da linha;366
10605;CounterNum;Número do contador;366
10606;TotalQty;Quantidade total de UM de estoque;366
10607;DocEntry;Nº interno;367
10608;LineNum;Nº da linha;367
10609;ChildNum;Número inferior;367
1061;LineVatF;Valor de imposto líquido (ME);47
10610;CounterNum;Número do contador;367
10611;UomQty;Quantidade contada em unidade de medida;367
10612;InvtQty;Quantidade contada da unidade de medida de estoque;367
10613;DocEntry;Nº interno;368
10614;LineNum;Nº da linha;368
10615;SnbIndex;Índice de número de série e lote;368
10616;ItemCode;Código do item;368
10617;WhsCode;Depósito;368
10618;ObjId;ID do objeto;368
10619;ObjAbs;Objeto absoluto;368
1062;LineVatS;Valor de imposto líquido (MS);47
10620;DrfWObjAbs;Depósito provisório do objeto absoluto;368
10621;Quantity;Quantidade;368
10622;SubLineNum;Número de sublinha;368
10623;ObjType;Tipo de objeto;368
10624;LogInstanc;Instância do registro em log - histórico;368
10625;DocEntry;Nº interno;369
10626;CounterNum;Número do contador;369
10627;CounteType;Tipo de contador;369
10628;CounterId;ID do contador;369
10629;CounteName;Nome do contador;369
1063;BaseMethod;Método básico;47
10630;LogIns;Instância do registro em log - histórico;369
10631;DocEntry;Nº interno;370
10632;LineNum;Nº da linha;370
10633;CounterNum;Número do contador;370
10634;TotalQty;Quantidade total de UM de estoque;370
10635;DocEntry;ID interno do documento;371
10636;LineNum;Nº da linha;371
10637;TargetType;Tipo de documento de destino;371
10638;TrgetEntry;ID interno documento destino;371
10639;BaseRef;Referência do documento base;371
1064;Stock;Estoque;47
10640;BaseType;Tipo de documento base;371
10641;BaseEntry;ID interno do documento base;371
10642;BaseLine;Linha de base;371
10643;LineStatus;Status da linha;371
10644;ItemCode;Nº do item;371
10645;Dscription;Descrição do item/serviço;371
10646;Quantity;Quantidade;371
10647;ShipDate;Linha da data de entrega;371
